City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Atuona,PF,78.08,-9.8,-139.0333,Atuona
2,Vaini,TO,78.96,-21.2,-175.2,Nukuhetulu
4,Poros,GR,72.91,37.4994,23.4536,Galatas
6,Busselton,AU,63.57,-33.65,115.3333,Busselton
7,Carnarvon,AU,69.84,-24.8667,113.6333,Carnarvon
8,San Andres,CO,82.42,12.5847,-81.7006,San Andrés
10,Daoukro,CI,70.86,7.0591,-3.9631,Daoukro
11,Poum,NC,72.9,-20.2333,164.0167,Poum
12,Rikitea,PF,71.24,-23.1203,-134.9692,Rikitea
15,Ribeira Grande,PT,65.14,38.5167,-28.7,Horta
17,Puerto Ayora,EC,69.55,-0.7393,-90.3518,Puerto Ayora
18,Loralai,PK,70.05,30.3705,68.598,Loralai
19,Wainwright,CA,60.15,52.839,-110.8572,Wainwright
20,Esperance,AU,61.43,-33.8667,121.9,Esperance
21,Saint-Philippe,RE,62.19,-21.3585,55.7679,Saint-Philippe
22,Mahebourg,MU,68.29,-20.4081,57.7,Mahebourg
24,Luderitz,,56.62,-26.6481,15.1594,Luderitz
25,Santo Domingo,DO,82.04,18.5001,-69.9886,Santo Domingo
26,Ponta Do Sol,PT,66.13,32.6667,-17.1,Ribeira Brava
27,Jamestown,US,65.79,42.097,-79.2353,Jamestown
29,Ust-Barguzin,RU,56.26,53.45,108.9833,Ust-Barguzin
30,Ambilobe,MG,62.6,-13.2,49.05,Ambilobe
31,Thompson,CA,57.36,55.7435,-97.8558,Thompson
32,Jacareacanga,BR,77.05,-6.2222,-57.7528,Jacareacanga
33,North Bend,US,63.91,43.4065,-124.2243,Coos Bay
35,Geraldton,AU,63.01,-28.7667,114.6,Geraldton
37,Lagoa,PT,63.46,39.05,-27.9833,Santa Cruz Da Graciosa
39,Kasongo-Lunda,CD,67.26,-6.4667,16.8167,Kasongo-Lunda
40,Karratha,AU,75.24,-20.7377,116.8463,Karratha
41,Biak,ID,81.39,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
42,Nueva Guinea,NI,73.08,11.6876,-84.4562,Nueva Guinea
43,Hobart,AU,57.25,-42.8794,147.3294,Hobart
44,Port Hedland,AU,78.85,-20.3167,118.5667,Port Hedland
45,Yerbogachen,RU,60.94,61.2767,108.0108,Erbogachen
49,Bonthe,SL,77.63,7.5264,-12.505,Bonthe
50,Georgetown,MY,84.15,5.4112,100.3354,George Town
