City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,42.48,65,0,1.83,clear sky
1,Atuona,PF,-9.8,-139.0333,78.08,78,23,22.32,few clouds
2,Vaini,TO,-21.2,-175.2,78.96,83,75,11.5,broken clouds
3,Cam Ranh,VN,11.9214,109.1591,91.36,52,0,2.3,clear sky
4,Poros,GR,37.4994,23.4536,72.91,64,0,4.94,clear sky
5,Khatanga,RU,71.9667,102.5,53.69,59,100,10.92,overcast clouds
6,Busselton,AU,-33.65,115.3333,63.57,69,100,13.91,overcast clouds
7,Carnarvon,AU,-24.8667,113.6333,69.84,50,0,12.01,clear sky
8,San Andres,CO,12.5847,-81.7006,82.42,78,40,13.8,thunderstorm
9,Chumikan,RU,54.7183,135.315,48.09,79,24,11.59,few clouds
10,Daoukro,CI,7.0591,-3.9631,70.86,100,76,2.53,broken clouds
11,Poum,NC,-20.2333,164.0167,72.9,58,94,15.48,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,71.24,60,49,13.22,scattered clouds
13,Iqaluit,CA,63.7506,-68.5145,47.93,61,20,8.05,few clouds
14,Qaanaaq,GL,77.484,-69.3632,37.62,83,99,2.71,overcast clouds
15,Ribeira Grande,PT,38.5167,-28.7,65.14,88,96,20.78,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,35.26,75,75,25.32,broken clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,69.55,97,55,1.99,broken clouds
18,Loralai,PK,30.3705,68.598,70.05,63,0,8.81,clear sky
19,Wainwright,CA,52.839,-110.8572,60.15,79,96,11.05,overcast clouds
20,Esperance,AU,-33.8667,121.9,61.43,73,3,13.22,clear sky
21,Saint-Philippe,RE,-21.3585,55.7679,62.19,65,57,8.23,broken clouds
22,Mahebourg,MU,-20.4081,57.7,68.29,68,40,10.36,scattered clouds
23,Norwich,GB,52.6278,1.2983,50.47,90,97,6.91,overcast clouds
24,Luderitz,NA,-26.6481,15.1594,56.62,65,91,7.31,overcast clouds
25,Santo Domingo,DO,18.5001,-69.9886,82.04,83,20,7.0,few clouds
26,Ponta Do Sol,PT,32.6667,-17.1,66.13,55,36,6.11,scattered clouds
27,Jamestown,US,42.097,-79.2353,65.79,80,100,8.05,overcast clouds
28,Kruisfontein,ZA,-34.0033,24.7314,50.88,83,84,4.41,broken clouds
29,Ust-Barguzin,RU,53.45,108.9833,56.26,72,15,4.79,few clouds
30,Ambilobe,MG,-13.2,49.05,62.6,88,5,4.18,clear sky
31,Thompson,CA,55.7435,-97.8558,57.36,88,75,6.91,broken clouds
32,Jacareacanga,BR,-6.2222,-57.7528,77.05,69,61,0.81,broken clouds
33,North Bend,US,43.4065,-124.2243,63.91,88,0,21.85,clear sky
34,Bluff,NZ,-46.6,168.3333,42.8,71,0,3.44,clear sky
35,Geraldton,AU,-28.7667,114.6,63.01,72,6,17.27,clear sky
36,Margate,GB,51.3813,1.3862,53.69,90,8,1.01,clear sky
37,Lagoa,PT,39.05,-27.9833,63.46,89,94,20.54,overcast clouds
38,Kaitangata,NZ,-46.2817,169.8464,46.9,74,0,2.86,clear sky
39,Kasongo-Lunda,CD,-6.4667,16.8167,67.26,89,20,0.94,few clouds
40,Karratha,AU,-20.7377,116.8463,75.24,38,2,18.97,clear sky
41,Biak,ID,-0.9131,122.8766,81.39,72,52,8.55,broken clouds
42,Nueva Guinea,NI,11.6876,-84.4562,73.08,95,100,5.7,overcast clouds
43,Hobart,AU,-42.8794,147.3294,57.25,75,75,8.05,broken clouds
44,Port Hedland,AU,-20.3167,118.5667,78.85,34,0,19.57,clear sky
45,Yerbogachen,RU,61.2767,108.0108,60.94,38,6,9.44,clear sky
46,Punta Arenas,CL,-53.15,-70.9167,30.31,80,20,13.8,few clouds
47,Okhotsk,RU,59.3833,143.3,53.08,76,82,10.33,broken clouds
48,Bilma,NE,18.6853,12.9164,88.48,18,1,6.82,clear sky
49,Bonthe,SL,7.5264,-12.505,77.63,84,100,5.1,light rain
50,Georgetown,MY,5.4112,100.3354,84.15,79,20,3.44,few clouds
51,Barrow,US,71.2906,-156.7887,57.22,51,0,9.22,clear sky
52,Porto Uniao,BR,-26.2381,-51.0783,55.33,94,100,1.79,overcast clouds
53,Kenai,US,60.5544,-151.2583,65.03,66,0,14.97,clear sky
54,Rocha,UY,-34.4833,-54.3333,44.67,72,100,5.99,overcast clouds
55,Isangel,VU,-19.55,169.2667,74.71,56,7,9.26,clear sky
56,Klaksvik,FO,62.2266,-6.589,45.52,81,100,14.56,overcast clouds
57,Touros,BR,-5.1989,-35.4608,75.54,87,15,12.1,few clouds
58,Omaruru,NA,-21.4333,15.9333,34.92,84,0,1.05,clear sky
59,Muscat,OM,23.6139,58.5922,91.42,50,8,7.4,clear sky
60,Hambantota,LK,6.1241,81.1185,80.94,77,90,17.13,overcast clouds
61,Bredasdorp,ZA,-34.5322,20.0403,51.62,91,33,0.74,scattered clouds
62,Yellowknife,CA,62.456,-114.3525,72.12,26,20,6.91,few clouds
63,Hermanus,ZA,-34.4187,19.2345,53.8,81,56,7.63,broken clouds
64,Maniitsoq,GL,65.4167,-52.9,36.61,88,100,7.9,light rain
65,Harper,LR,4.375,-7.7169,74.12,93,100,1.79,heavy intensity rain
66,Lufilufi,WS,-13.8745,-171.5986,87.58,72,16,5.46,few clouds
67,Padang,ID,-0.9492,100.3543,82.45,67,68,1.05,broken clouds
68,Avarua,CK,-21.2078,-159.775,82.45,78,20,9.22,few clouds
69,Pulandian,CN,39.3953,121.9669,79.43,74,93,7.36,overcast clouds
70,Berlevag,NO,70.8578,29.0864,50.0,71,100,20.71,overcast clouds
71,Hasaki,JP,35.7333,140.8333,84.29,80,100,8.95,overcast clouds
72,Zhangye,CN,38.9342,100.4517,68.5,45,100,4.23,overcast clouds
73,San Matias,BO,-16.3667,-58.4,72.82,61,3,5.08,clear sky
74,Cape Town,ZA,-33.9258,18.4232,59.92,78,0,10.0,clear sky
75,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,88,40,10.36,scattered clouds
76,Kieta,PG,-6.2167,155.6333,85.82,65,30,5.59,scattered clouds
77,Teya,RU,60.3778,92.6267,71.17,49,8,5.79,clear sky
78,Lompoc,US,34.6391,-120.4579,78.94,67,0,15.01,clear sky
79,Tilichiki,RU,60.4667,166.1,51.31,76,93,8.16,overcast clouds
80,Andenes,NO,69.3143,16.1194,48.18,93,75,12.66,light rain
81,Morgan City,US,29.6994,-91.2068,84.99,74,0,7.38,clear sky
82,Lorengau,PG,-2.0226,147.2712,82.69,76,38,5.55,scattered clouds
83,Talmenka,RU,53.8183,83.5677,68.38,84,100,4.68,overcast clouds
84,Hilo,US,19.7297,-155.09,80.28,82,100,0.0,overcast clouds
85,Milton,US,34.1322,-84.3007,81.61,70,84,3.4,broken clouds
86,Arman,RU,59.7,150.1667,59.02,81,100,6.22,overcast clouds
87,Kapaa,US,22.0752,-159.319,82.38,83,40,12.66,scattered clouds
88,Albany,US,42.6001,-73.9662,64.81,67,100,5.23,overcast clouds
89,Roald,NO,62.5833,6.1333,60.17,76,100,16.11,overcast clouds
90,Clyde River,CA,70.4692,-68.5914,37.63,81,100,10.36,overcast clouds
91,Tiksi,RU,71.6872,128.8694,42.69,54,31,6.29,scattered clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,75,40,9.22,scattered clouds
93,Thinadhoo,MV,0.5333,72.9333,82.94,72,18,12.41,few clouds
94,Kaeo,NZ,-35.1,173.7833,54.91,80,100,14.56,overcast clouds
95,Chokurdakh,RU,70.6333,147.9167,47.97,35,93,9.26,overcast clouds
96,Timra,SE,62.487,17.3257,47.88,93,100,3.44,overcast clouds
97,New Norfolk,AU,-42.7826,147.0587,56.91,77,100,1.99,overcast clouds
98,Jiwani,PK,25.05,61.7417,82.47,87,0,6.96,clear sky
99,Dunedin,NZ,-45.8742,170.5036,48.09,68,0,3.36,clear sky
100,Taltal,CL,-25.4,-70.4833,53.92,81,35,1.36,scattered clouds
101,Suntar,RU,62.1444,117.6319,60.37,39,99,9.48,overcast clouds
102,El Ocote,HN,15.4167,-86.5667,68.77,96,100,2.33,overcast clouds
103,Torbay,CA,47.6666,-52.7314,60.28,95,100,16.11,light intensity drizzle
104,Sumenep,ID,-7.0167,113.8667,83.21,70,91,8.39,overcast clouds
105,Knysna,ZA,-34.0363,23.0471,57.54,73,72,4.03,broken clouds
106,Les Escoumins,CA,48.1111,-69.0236,42.15,90,5,3.0,clear sky
107,Acari,PE,-15.4311,-74.6158,63.25,74,52,2.89,broken clouds
108,Hithadhoo,MV,-0.6,73.0833,82.85,73,81,12.82,broken clouds
109,Vardo,NO,70.3705,31.1107,44.58,93,97,13.8,overcast clouds
110,Norman Wells,CA,65.282,-126.8329,64.44,59,75,19.57,broken clouds
111,Sept-Iles,CA,50.2001,-66.3821,48.2,95,20,5.75,few clouds
112,Pevek,RU,69.7008,170.3133,33.93,90,96,1.74,overcast clouds
113,Fereydunshahr,IR,32.941,50.121,59.11,41,0,7.58,clear sky
114,Saint-Joseph,RE,-21.3667,55.6167,61.18,67,26,8.55,scattered clouds
115,Maceio,BR,-9.6658,-35.7353,74.64,88,75,8.05,broken clouds
